Date,DJI,^FTSE,^GSPC,^N225
2017-05-09,20975.800781,7342.200195,2396.919922,19843.0
2017-05-10,20943.099609,7385.200195,2399.6298829999996,19900.089844
2017-05-11,20919.400391,7386.600098000001,2394.439941,19961.550781
2017-05-12,20896.599609,7435.399901999999,2390.899902,19883.900391
2017-05-15,20981.900391,7454.399901999999,2402.320068,19869.849609
2017-05-16,20979.800781,7522.0,2400.669922,19919.820313
2017-05-17,20606.900391,7503.5,2357.030029,19814.880859
2017-05-18,20663.0,7436.399901999999,2365.719971,19553.859375
2017-05-19,20804.800781,7470.700195,2381.72998,19590.759766
2017-05-22,20894.800781,7496.299805,2394.02002,19678.279297
2017-05-23,20937.900391,7485.299805,2398.419922,19613.279297
2017-05-24,21012.400391,7514.899901999999,2404.389893,19742.980469
2017-05-25,21083.0,7517.700195,2415.070068,19813.130859
2017-05-26,21080.300781,7547.600098000001,2415.820068,19686.839844
2017-05-29,21080.300781,7547.600098000001,2415.820068,19682.570313
2017-05-30,21029.5,7526.5,2412.909912,19677.849609
2017-05-31,21008.699219,7520.0,2411.800049,19650.570313
2017-06-01,21144.199219,7543.799805,2430.060059,19860.029297
2017-06-02,21206.300781,7547.600098000001,2439.070068,20177.279297
2017-06-05,21184.0,7525.799805,2436.100098,20170.820313
2017-06-06,21136.199219,7525.0,2429.330078,19979.900391
2017-06-07,21173.699219,7478.600098000001,2433.139893,19984.619141
2017-06-08,21182.5,7450.0,2433.790039,19909.259766
